,src0,src1,dst,Instruction,Family,CPNUM[2:0],,,COPC[8:0],,,,,,,,,CPREG[11:0],,,,,,,,,,,,Hardware,,,,,,,,Software,,,,,,,,,Software Temp,,,,,Hardware Temp,Operand Width,,Operand width,Instruction number,,,,,,,,,
,,,,,,2,1,0,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,Operand width,Instruction,Src0,Src1,Dest,Immediate,,`,COPRO_INST,Opcode1,Opcode2,Src0,Src1,Dest,Immediate,,Opcode1,,Opcode2,,,,Decimal,Hex,,Decimal,Hex,,,,,,,,
Operand width,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPINST[20:18],CPINST[17:13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ADD.8,Arithmetic instruction,Rd,Rn,Rm,0,0,0,0,0,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,ADD.8,3'h0,5'h0,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,ADD.8,CDP,4'h0,3'h0,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,0,0,0,0,,3'h,0,0,5'h,0,0,,,,,,,,
,,,,SUB.8,Arithmetic instruction,Rd,Rn,Rm,0,0,0,0,0,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SUB.8,3'h0,5'h1,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SUB.8,CDP,4'h0,3'h1,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,0,0,1,1,,3'h,0,0,5'h,1,1,,,,,,,,
,,,,ADDS.8,Arithmetic instruction,Rd,Rn,Rm,0,0,0,0,0,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,ADDS.8,3'h0,5'h2,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,ADDS.8,CDP,4'h0,3'h2,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,0,0,2,2,,3'h,0,0,5'h,2,2,,,,,,,,
,,,,SUBS.8,Arithmetic instruction,Rd,Rn,Rm,0,0,0,0,0,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SUBS.8,3'h0,5'h3,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SUBS.8,CDP,4'h0,3'h3,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,0,0,3,3,,3'h,0,0,5'h,3,3,,,,,,,,
,,,,UMAX.8,Arithmetic instruction,Rd,Rn,Rm,0,0,0,0,0,1,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMAX.8,3'h0,5'h4,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMAX.8,CDP,4'h0,3'h4,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,0,0,4,4,,3'h,0,0,5'h,4,4,,,,,,,,
,,,,SMAX.8,Arithmetic instruction,Rd,Rn,Rm,0,0,0,0,0,1,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMAX.8,3'h0,5'h5,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMAX.8,CDP,4'h0,3'h5,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,0,0,5,5,,3'h,0,0,5'h,5,5,,,,,,,,
,,,,UMIN.8,Arithmetic instruction,Rd,Rn,Rm,0,0,0,0,0,1,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,UMIN.8,3'h0,5'h6,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,UMIN.8,CDP,4'h0,3'h6,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,0,0,6,6,,3'h,0,0,5'h,6,6,,,,,,,,
,,,,SMIN.8,Arithmetic instruction,Rd,Rn,Rm,0,0,0,0,0,1,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,SMIN.8,3'h0,5'h7,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,SMIN.8,CDP,4'h0,3'h7,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,0,0,7,7,,3'h,0,0,5'h,7,7,,,,,,,,
,,,,AND.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,0,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,AND.8,3'h0,5'h8,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,AND.8,CDP,4'h1,3'h0,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,0,0,,3'h,0,0,5'h,8,8,,,,,,,,
,,,,OR.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,0,0,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,OR.8,3'h0,5'h9,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,OR.8,CDP,4'h1,3'h1,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,1,1,,3'h,0,0,5'h,9,9,,,,,,,,
,,,,NAND.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,0,1,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,NAND.8,3'h0,5'hA,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,NAND.8,CDP,4'h1,3'h2,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,2,2,,3'h,0,0,5'h,10,A,,,,,,,,
,,,,NOR.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,0,1,1,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,NOR.8,3'h0,5'hB,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,NOR.8,CDP,4'h1,3'h3,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,3,3,,3'h,0,0,5'h,11,B,,,,,,,,
,,,,XOR.8,Logical instruction,Rd,Rn,Rm,0,0,0,0,1,1,0,0,,Rn,Rn,Rn,Rn,Rd,Rd,Rd,Rd,Rm,Rm,Rm,Rm,XOR.8,3'h0,5'hC,"CPNUM[1], CPINST[11:8]","CPNUM[0],CPINST[3:0]","CPNUM[2],CPINST[7:4]",,,XOR.8,CDP,4'h1,3'h4,"CPNUM[1], CRn[3:0]","CPNUM[0], CRm[3:0]","CPNUM[2],CRd[3:0]",,,1,1,4,4,,3'h,0,0,5'h,12,C,,,,,,,,
