Instruction,Summary,Description,Syntax,Operation
,,,,
,,,,
Arithmetic instructions,,,,
ADD.8,Add 8-bit,"8-bit integer addition, writing the 8-bit result to the destination register","ADD.8 Rd, Rn, Rm",Rd[7:0] =  Rn[7:0] +  Rm[7:0]
SUB.8,Subtract 8-bit,"8-bit integer subtract, writing the 8-bit result to the destination register","SUB.8 Rd, Rn, Rm",Rd[7:0] =  Rn[7:0] -  Rm[7:0]
ADDS.8,Add 8-bit setting flags,"8-bit integer addition, writing the 8-bit result to the destination register, result sets flag registers","ADDS.8 Rd, Rn, Rm","Rd[7:0] =  Rn[7:0] +  Rm[7:0]
Flags are update"
SUBS.8,Subtract 8-bit setting flags,"8-bit integer subtract, writing the 8-bit result to the destination register, result sets flag registers","SUBS.8 Rd, Rn, Rm","Rd[7:0] =  Rn[7:0] -  Rm[7:0]
Flags are updated"
UMAX.8,Unsigned maximum 8-bit,"8-bit unsigned maximum, writing the unsigned maximum 8-bit result to the destination register","MAXU.8 Rd, Rn, Rm","Rd[7:0] = maxu(Rn[7:0], Rm[7:0])"
SMAX.8,Signed maximum 8-bit,"8-bit signed maximum, writing the signed maximum 8-bit result to the destination register","MAXS.8 Rd, Rn, Rm","Rd[7:0] = maxs(Rn[7:0], Rm[7:0])"
UMIN.8,Unsigned minimum 8-bit,"8-bit unsigned minimum, writing the unsigned minimum 8-bit result to the destination register","MINU.8 Rd, Rn, Rm","Rd[7:0] = minu(Rn[7:0], Rm[7:0])"
SMIN.8,Signed minimum 8-bit,"8-bit signed minimum, writing the signed minimum 8-bit result to the destination register","MINS.8 Rd, Rn, Rm","Rd[7:0] = mins(Rn[7:0], Rm[7:0])"
CMP.8,Compare 8-bit setting flags,"8-bit integer compare, result sets flag registers",,
CSEL.8,Conditional select 8-bit,"Conditionally select Src0 or Src1, writing the 8-bit result to the destination register","CSEL.8 Rd, Rn, Rm, #cond4","if (flag(#cond4))
  Rd[7:0] = Rn[7:0]
else
  Rd[7:0] = Rm[7:0]"
ADD.16,Add 16-bit,"16-bit integer addition, writing the 16-bit result to the destination register","ADD.16 Rd, Rn, Rm",Rd[15:0] = Rn[15:0] + Rm[15:0]
SUB.16,Subtract 16-bit,"16-bit integer subtract, writing the 16-bit result to the destination register","SUB.16 Rd, Rn, Rm",Rd[15:0] = Rn[15:0] - Rm[15:0]
ADDS.16,Add 16-bit setting flags,"16-bit integer addition, writing the 16-bit result to the destination register, result sets flag registers","ADDS.16 Rd, Rn, Rm","Rd[15:0] = Rn[15:0] + Rm[15:0]
Flags are updated"
SUBS.16,Subtract 16-bit setting flags,"16-bit integer subtract, writing the 16-bit result to the destination register, result sets flag registers","SUBS.16 Rd, Rn, Rm","Rd[15:0] = Rn[15:0] - Rm[15:0]
Flags are updated"
ADC.16,Add with carry 16-bit,"16-bit integer addition with carry, writing the 16-bit result to the destination register","ADC.16 Rd, Rn, Rm",Rd[15:0] = Rn[15:0] + Rm[15:0] + Carry flag
SBC.16,Subtract with carry 16-bit,"16-bit integer subtract with carry, writing the 16-bit result to the destination register","SBC.16 Rd, Rn, Rm",Rd[15:0] = Rn[15:0] - Rm[15:0] - Carry flag
